Log file entries,KB index
"[Mon Feb 12 13:33:43.537781 2018] [autoindex:error] [pid 25037] [client 127.0.0.1:57624] AH01276: Cannot serve directory /home/cs/students/u16220073/: No matching DirectoryIndex (index.html,index.html.var,index.php,index.phtml) found, and server-generated directory index forbidden by Options directive",0
"[Tue Feb 13 21:57:17.848217 2018] [auth_basic:error] [pid 27382] [client 127.0.0.1:44180] AH01617: user u16220073: authentication failure for ""/"": Password Mismatch",1
[Wed Apr 11 02:20:30.821939 2018] [:error] [pid 28783] [client 127.0.0.1:42222] PHP Warning:  mysqli_connect(): (HY000/1045): Access denied for user 'root'@'localhost' (using password: NO) in /home/cs/students/u16220073/COS 221/cos221A3/db.php on line 6,2
"[Fri Apr 20 13:57:53.308061 2018] [:error] [pid 9219] [client 127.0.0.1:54964] PHP Parse error:  syntax error, unexpected 'return' (T_RETURN) in /home/cs/students/u16220073/COS 216'/Assignment3/api.php on line 59, referer: http://wheatley.cs.up.ac.za/u16220073/COS%20216'/Assignment3/",3
"[Sun Apr 22 18:58:53.006422 2018] [authz_core:error] [pid 31618] [client 127.0.0.1:58306] AH01631: user u17097071: authorization failure for ""/COS 216'"":",4
[Fri May 04 00:51:36.779550 2018] [:error] [pid 7866] [client 127.0.0.1:47990] PHP Warning:  require_once(dbcon\xef\xac\x81g.php): failed to open stream: No such file or directory in /home/cs/students/u16220073/COS 216'/Assignment4/COS216A4/header.php on line 2,5
[Fri May 04 00:51:36.779595 2018] [:error] [pid 7866] [client 127.0.0.1:47990] PHP Fatal error:  require_once(): Failed opening required 'dbcon\xef\xac\x81g.php' (include_path='.:/usr/share/php7:/usr/share/php') in /home/cs/students/u16220073/COS 216'/Assignment4/COS216A4/header.php on line 2,6
[Fri May 04 00:51:43.115944 2018] [:error] [pid 7874] [client 127.0.0.1:48012] PHP Warning:  require_once(dbcon\xef\xac\x81g.php): failed to open stream: No such file or directory in /home/cs/students/u16220073/COS 216'/Assignment4/COS216A4/header.php on line 2,7
"[Mon May 27 12:43:40.448227 2019] [:error] [pid 21215] [client 127.0.0.1:34242] PHP Notice:  Undefined variable: salt in /home/cs/students/u16186258/validate-login.php on line 31, referer: https://wheatley.cs.up.ac.za/u16186258/login.php",8
[Sun Jun 14 19:08:32.311515 2020] [:error] [pid 16341] [client 127.0.0.1:48030] PHP Notice:  Undefined index: email in /home/cs/students/u16220073/cos216_2019/practical4/p4/validate-login.php on line 40,9
[Mon Mar 09 19:05:45.263180 2020] [:error] [pid 7208] [client 127.0.0.1:38798] script '/home/cs/students/u16186258/discover.php' not found or unable to stat,10
[Sat May 09 16:50:10.390350 2020] [:error] [pid 30151] [client 127.0.0.1:51768] PHP Fatal error:  Uncaught Error: Call to undefined function mysqli() in /home/cs/students/u16186258/COS216/practical3/config.php:10\nStack trace:\n#0 /home/cs/students/u16186258/COS216/practical3/header.php(1): include()\n#1 /home/cs/students/u16186258/COS216/practical3/index.php(18): require_once('/home/cs/studen...')\n#2 {main}\n  thrown in /home/cs/students/u16186258/COS216/practical3/config.php on line 10,11
